source_id,section,title,subcategory,clinical_cluster,definition,example_ed,example_primary_care,clinical_setting,source_of_variability,encounter_frequency,error_rate_given_exposure,notes,review_scenario
M1,Management,Empiric antibiotic selection for sepsis,High-variability treatment selection,1 - Medication Management,"Selecting appropriate empiric antimicrobial coverage considering resistance patterns, allergy history, prior cultures, renal function, and local antibiogram data.",70yo with chronic UTIs presenting with recurrent symptoms. Prior resistance to fluoroquinolones. Which empiric regimen?,65yo with cellulitis not responding to first-line oral antibiotics. Escalate outpatient vs. IV antibiotics vs. ED referral?,Both,Local resistance patterns; guideline variation; allergy history complexity,High Sepsis is among the most common serious ED and inpatient presentations; empiric antibiotic decisions required on nearly every sepsis case,Medium Suboptimal empiric selection documented; 5% absolute mortality difference between regimens (Chanderraj 2024); variation driven by resistance pattern knowledge gaps,QIAN ET AL JAMA ACORN STUDY--NO DIFFERENCE ZOSYN VS. CEFEPIME,"A 70-year-old with recurrent urinary infections presents with fever, dysuria, and hypotension. Prior cultures showed fluoroquinolone resistance, and you need to choose empiric antibiotics before new culture data return."
M2,Management,ED disposition decisions (admit vs. discharge) & PCP triage to ED decision-making,Clinical disposition under uncertainty,4 - Clinical Resource and Utilization Decisions,Determining appropriate level of care for patients with borderline presentations where both admission and discharge are defensible. Primary care determination of whether a patient requires emergency evaluation vs. can be safely managed outpatient with available resources.,"CHF exacerbation, sat 91% on room air, chronically ill, poor outpatient follow-up. Admit vs. discharge with close follow-up?",28yo with migraine history and new sensory changes to hand. Send to ED for stroke eval? Office neuro exam normal.,Both,Social determinants + follow-up reliability + risk tolerance variation Limited testing/imaging available; variable risk tolerance; medicolegal pressure,High Disposition decisions required for every ED patient; borderline cases estimated at 20-30% of ED volume. PCP-to-ED referral decisions occur daily in primary care; among the most consequential routine decisions in outpatient practice,Medium Clinician variation in disposition persists even with validated risk scores; no single benchmark error rate but significant inter-provider disagreement documented (Liu 2021) 11-56% inappropriate ED referral rate documented across studies (Posocco 2017); wide range reflects variability in risk tolerance and available resources,,"A patient with heart failure presents with dyspnea, borderline oxygen saturation, and limited outpatient support. The workup is reassuring enough that discharge is possible, but the risk of decompensation after going home is not trivial."
M3,Management,Chronic disease medication titration,Therapeutic inertia resistance,1 - Medication Management,"Adjusting medications for chronic conditions when patients present with suboptimal control, requiring integration of acute context, chronic trajectory, and outpatient follow-up reliability.","Patient in ED with BP 170s, chronically on BP meds, negative workup. Increase amlodipine before discharge?",Diabetic with A1c 8.5 on metformin + glipizide. Add third agent vs. insulin? Patient preference vs. guideline.,Both,Therapeutic inertia bias; acute vs. chronic framing; ownership ambiguity,High Chronic disease management is the dominant activity of primary care; medication titration decisions arise at the majority of follow-up visits,"High Therapeutic inertia documented in up to 40% of hypertensive CKD patients not at goal despite repeated visits (Desai 2013); pervasive across diabetes, heart failure, lipid management",Inpatient data--but Anderson et al argue don't start new antihypertensives for most patients https://pubmed.ncbi.nlm.nih.gov/37252732/,A patient with longstanding hypertension is seen after several visits with persistently poor control despite taking multiple medications. You need to decide whether to intensify treatment now or defer changes until there is better follow-up and more context.
M4,Management,Medication reconciliation in polypharmacy,Therapeutic inertia resistance,1 - Medication Management,"Identifying harmful drug interactions, redundancies, and deprescribing opportunities in patients on multiple medications. >90% CDS alert override rate due to fatigue.","60yo admitted with confusion on diuretics, benzodiazepines, and sleeping pills. Which medications are contributing? What to hold?",80yo on 14 medications presenting for wellness visit. Statin + new muscle pain. Deprescribing cascade risk.,Both,Alert fatigue; ownership ambiguity (who is the prescriber?); deprescribing reluctance,High Polypharmacy affects >40% of older adults; medication reconciliation required at every care transition,High Reconciliation errors at transitions of care are among the most common medication safety events; adverse drug events reduced significantly by structured reconciliation (Jost 2021),,"A 60-year-old is admitted with confusion after taking several chronic medications, including a benzodiazepine, a diuretic, and a sedating sleep aid. You need to determine which drugs may be contributing and what should be held, continued, or deprescribed."
M5,Management,Test result follow-up and closed-loop tracking,Longitudinal trajectory tracking,3 - Longitudinal Care Tracking,"Ensuring abnormal results are communicated, acted upon, and tracked to completion. 6.8% abnormal labs and 7.1% abnormal imaging lack follow-up (Singh); present in 20-30% of ambulatory malpractice claims.",Aortic dilation to 5.2cm on CT — when can patient follow up? Who tracks this?,Mildly elevated liver enzymes on routine labs. Repeat vs. workup? Ensure patient returns.,Both,System fragmentation; handoff failures; variable EHR tracking tools,High Abnormal results generated daily across every clinical setting; closed-loop tracking required for every ordered test,High 6.8% of abnormal labs and 7.1% of abnormal imaging lack documented follow-up (Singh); present in 20-30% of ambulatory malpractice claims,,"A CT ordered for one complaint reveals a serious incidental abnormality that will need follow-up after discharge. You need to decide how urgently it must be addressed, who is responsible for the follow-up plan, and how to make sure it does not get lost."
M6,Management,Low-value care avoidance (imaging/testing),Disposition and resource allocation,4 - Clinical Resource and Utilization Decisions,"Deciding against testing/imaging when clinical evidence doesn't support it, despite medicolegal pressure or patient expectations. 6.8% abnormal labs and 7.1% abnormal imaging lack follow-up.",Does this pediatric bronchiolitis patient really need a chest X-ray?,"Back pain <6 weeks, no red flags. Patient insists on MRI. Order it or not?",Both,Defensive medicine; patient expectation pressure; medicolegal anxiety,High Imaging and testing decisions arise in nearly every clinical encounter; low-value ordering is a system-wide challenge,High Imaging overuse estimated at 20-50% of orders in some categories; significant variation across providers even for same presentations (Litkowski 2016),,"A child with bronchiolitis is stable and clinically consistent with a viral illness, but the family is asking for a chest X-ray for reassurance. You need to decide whether additional testing would help or would only add cost, radiation, and follow-up burden."
M7,Management,Opioid prescribing for discharged patients,High-variability treatment selection,1 - Medication Management,"Balancing adequate pain control against addiction risk, diversion, and regulatory scrutiny when prescribing opioids at discharge or in the outpatient setting.",Kidney stone patient with pain controlled in ED. Prescribe opioids for home? How many? Any history check?,Chronic low back pain patient requesting opioid refill. PDMP check shows multiple prescribers.,Both,Risk tolerance + follow-up reliability; pain assessment subjectivity; patient expectation pressure,Medium Opioid prescribing at ED discharge occurs in a meaningful subset of ED visits; less frequent in primary care with chronic pain excluded,"High High inter-provider variability in opioid prescribing documented; prescribing patterns driven by habit and patient pressure more than clinical criteria (Drendel 2020, Mok 2020)",,"A patient with acute renal colic improves in the emergency department and is ready for discharge. You need to decide whether to prescribe opioids for home use, how much to give, and what risk factors should change that plan."
M8,Management,Resource allocation and triage under constraints,Disposition and resource allocation,4 - Clinical Resource and Utilization Decisions,"Determining intensity of workup, monitoring, and intervention based on competing demands, limited resources, and illness severity.",Multiple patients boarding. Which need frequent reassessment vs. can wait? Only one CT slot available.,"End of day, 3 patients need callbacks for abnormal labs. Prioritizing by severity with limited time.",Both,Highly context-dependent; institutional resource variation; cognitive load from multitasking,"Medium Formal resource constraint triage occurs during surge conditions, mass casualty events, and high-census periods; not a daily occurrence in stable systems",Medium Errors under constraint conditions are underreported; cognitive overload in surge settings well documented but error rates difficult to quantify prospectively (Hick 2011),Broad — panel may want to narrow or merge with M2,"The department is full, several patients are boarding, and only one CT slot is immediately available. You need to decide which patients require the closest reassessment and which limited resources should go to whom first."
M9,Management,Goals-concordant care in acute deterioration,Values and goals integration,5 - Goals of Care and Patient Preference Alignment,Aligning acute treatment decisions with patient preferences and goals of care when the patient cannot participate in real-time decision-making.,DNR/DNI patient with reversible hypoxia. BiPAP consistent with goals? Family disagrees.,Advanced cancer patient with new pneumonia. Aggressive treatment vs. comfort per prior discussions? Documentation unclear.,Both,Advance directive interpretation; family vs. documented wishes; prognostic uncertainty,Medium Acute deterioration requiring goals of care alignment occurs regularly in inpatient and ED settings; less frequent in stable primary care,High ICU treatments near end of life frequently not goal-concordant; goals of care documented but not acted upon in significant proportion of cases (Cardona 2020),Bridges management + communication — panel decides where it fits best,"A patient with advanced illness develops acute respiratory distress, and the chart documents DNR/DNI status but little detail about acceptable escalation. The family wants everything done, while the bedside team is unsure which treatments are still consistent with the patient’s goals."
M10,Management,Managing contradictory guidelines in multimorbid patients,High-variability treatment selection,6 - Guideline and Evidence Conflict Navigation,"Navigating treatment decisions when evidence-based guidelines for one condition conflict with guidelines for a co-existing condition, requiring integration of competing risks and benefits.",Septic patient with CHF — fluid resuscitation guideline conflicts with volume restriction. Beta-blocker for AFib RVR in patient with acute asthma.,"CHF patient with CKD and diabetes — SGLT2 inhibitor recommended by cardiology, nephrology concerned about AKI, endocrine wants to add it. Whose guideline wins?",Both,Guideline proliferation without multimorbidity guidance; specialist siloing; no standard for adjudicating conflicts,High Multimorbidity affects >60% of adults over 65; guideline conflicts arise in the majority of complex chronic disease management encounters,High Most clinical guidelines developed for single-disease populations; conflict rate in multimorbid patients not precisely quantified but considered near-universal in geriatric and complex care (Wunderle 2023),Affects majority of elderly patients — guidelines written for single-disease populations,"A septic patient with heart failure and chronic kidney disease needs urgent treatment, but the guideline-concordant plan for one condition increases risk for the others. You need to choose a management strategy when multiple specialty recommendations point in different directions."
